('file-not-found', 'NN')
('fails', 'NNS')
('along', 'IN')
('demonstration', 'NN')
('name5', 'FW')
('encode_alpha', 'FW')
('types', 'NNS')
('iend', 'VBP')
('harness', 'NN')
('reserve', 'NN')
('mapping', 'VBG')
('extent', 'NN')
('dropped', 'VBD')
('areas', 'NNS')
('random', 'JJ')
('consumer', 'NN')
('taking', 'VBG')
('copies', 'NNS')
('assume', 'RB')
('subtracted', 'VBD')
('bogus', 'JJ')
('error_in_compose', 'JJ')
('digitization', 'NN')
('png_pass_colswidth', 'NN')
('beginning', 'VBG')
('vpagster', 'NN')
('lost', 'VBD')
('compiling', 'JJ')
('expectations', 'NNS')
('png_pass_row_shiftpass', 'VBP')
('restriction', 'NN')
('log2', 'NN')
('formatted', 'VBD')
('png_store_file', 'JJ')
('sigterm', 'NN')
('folded', 'VBD')
('exist', 'JJ')
('max-outmax-in', 'JJ')
('xrgbrgbxagga', 'NN')
('write_packswap', 'VBD')
('in-place', 'JJ')
('matching', 'VBG')
('libpng-1412', 'JJ')
('products', 'NNS')
('reentered', 'VBN')
('extra_bytes', 'NNS')
('png_read_strip_alpha_supported', 'VBD')
('ceil100000327672', 'JJ')
('systems', 'NNS')
('blue-scale', 'JJ')
('hex', 'JJ')
('rgb-8', 'JJ')
('customization', 'NN')
('hinc', 'NN')
('sharing', 'VBG')
('pointless', 'NN')
('detect', 'JJ')
('latter', 'JJ')
('channel--perhaps', 'JJ')
('horse', 'NN')
('declare', 'NN')
('examination', 'NN')
('end-of-file', 'JJ')
('self', 'NN')
('map', 'NN')
('elimination', 'NN')
('png_set_rgb_to_graypng_structp', 'NN')
('unpremultiply', 'JJ')
('white-ywhite-y', 'JJ')
('parallelize', 'NN')
('idat_end', 'NN')
('documented', 'VBD')
('png_read_transforms_supported', 'JJ')
('heights', 'NNS')
('contain', 'VBP')
('detection', 'NN')
('deinterlacing', 'VBG')
('canceling', 'VBG')
('cause', 'NN')
('flushes', 'NNS')
('led', 'VBD')
('destroy', 'JJ')
('read_png', 'JJ')
('g-16', 'JJ')
('preallocate', 'NN')
('logarithm', 'JJ')
('png_debug_malloc', 'NN')
('sufficient', 'JJ')
('corresponds', 'NNS')
('transforming', 'VBG')
('png_write_flush_after_iend_supported', 'JJ')
('report', 'NN')
('direction', 'NN')
('handlers', 'NNS')
('pre-multiplication', 'JJ')
('represents', 'VBZ')
('png_idat', 'JJ')
('null', 'JJ')
('possibilities', 'NNS')
('reduces', 'VBZ')
('breaks', 'NNS')
('out-of-memory', 'JJ')
('exported', 'VBD')
('dbl_max', 'NN')
('works', 'NNS')
('computations', 'NNS')
('conversions', 'NNS')
('drift', 'VBP')
('cross', 'JJ')
('program', 'NN')
('characteristics', 'NNS')
('caught', 'VBD')
('modifier', 'JJR')
('image_pixel_add_alpha', 'JJ')
('inflatereset2', 'NN')
('make_size_images', 'NNS')
('mis', 'VBP')
('simplified_write_stdio', 'NN')
('act', 'NN')
('configh', 'JJ')
('attempting', 'VBG')
('viewing', 'VBG')
('png_header_version_string', 'VBG')
('the_exception_context', 'JJ')
('storesave', 'NN')
('reinitializes', 'VBZ')
('inverse', 'JJ')
('share', 'NN')
('png_set_quantizepng_structp', 'JJ')
('shorter', 'JJR')
('store_free', 'JJ')
('stash', 'NN')
('saying', 'VBG')
('sorting', 'VBG')
('takes', 'VBZ')
('set_shift', 'NN')
('progressive_read', 'NN')
('cexcepth', 'NN')
('png_read_expand_supported', 'VBD')
('circular', 'JJ')
('review', 'NN')
('avoiding', 'VBG')
('upon', 'IN')
('approaches', 'NNS')
('app_fail', 'VBP')
('clearing', 'VBG')
('facilitate', 'NN')
('crashing', 'VBG')
('non-palette', 'JJ')
('specifies', 'NNS')
('iterate', 'VBP')
('worthy', 'JJ')
('lock-step', 'JJ')
('error_in_premultiply', 'NN')
('shiftsbit', 'NN')
('recover', 'NN')
('destabilizing', 'VBG')
('operate', 'NN')
('png_no_stdio', 'NN')
('holding', 'VBG')
('increasing', 'VBG')
('stray', 'JJ')
('tofrom', 'IN')
('e-mail', 'JJ')
('backwards', 'NNS')
('blue-y-green-y', 'JJ')
('rgb->gray', 'JJ')
('approximated', 'VBN')
('seed', 'NN')
('marked', 'VBN')
('non-benign', 'JJ')
('verified', 'JJ')
('balance', 'NN')
('poyntons', 'NNS')
('architecture', 'VBP')
('bad_combo_list', 'JJ')
('switch', 'NN')
('idats', 'NNS')
('recommended', 'VBD')
('subtracting', 'VBG')
('declared', 'JJ')
('setup', 'JJ')
('blue-x', 'JJ')
('reset', 'NN')
('>green', 'JJ')
('white-scale', 'JJ')
('bitsettest', 'JJS')
('libng-1510', 'JJ')
('png-fix-itxtc', 'JJ')
('issues', 'NNS')
('original_rows', 'VBZ')
('green-ygreen-scale', 'JJ')
('accuracy', 'NN')
('lines', 'NNS')
('zlib_ok', 'CD')
('80-bit', 'JJ')
('grab', 'NN')
('produces', 'NNS')
('validated', 'VBD')
('innocent', 'JJ')
('tail', 'NN')
('increased', 'VBD')
('match', 'NN')
('sets', 'NNS')
('read_background', 'VBP')
('suggests', 'VBZ')
('insert', 'JJ')
('inter-row', 'JJ')
('combine', 'NN')
('understands', 'VBZ')
('png_strip_alpha', 'JJ')
('double-gamma-correction', 'NN')
('codes', 'NNS')
('touchy', 'VBP')
('arises', 'NNS')
('info_iccp', 'VBP')
('continues', 'VBZ')
('indicating', 'VBG')
('png_col_in_interlace_passx', 'JJ')
('give', 'JJ')
('pre-transforms', 'NNS')
('contained', 'VBN')
('guidance', 'NN')
('dump', 'NN')
('desire', 'NN')
('b32768', 'NN')
('outrowc', 'NN')
('guest', 'JJS')
('zlib_control', 'NN')
('association', 'NN')
('fflush', 'VBD')
('color-space', 'JJ')
('spectra', 'JJ')
('png_ptr->transformations', 'NNS')
('correspond', 'NN')
('convenience', 'NN')
('pngapi', 'NN')
('creating', 'VBG')
('implemented', 'VBN')
('slip', 'NN')
('duplicated', 'VBN')
('z_finish', 'JJ')
('info->num_palette', 'JJ')
('slots', 'NNS')
('registered', 'VBD')
('quartets', 'NNS')
('experiences', 'NNS')
('thing', 'NN')
('critique', 'NN')
('row_info->bit_depth', 'JJ')
('gropes', 'NNS')
('colorfaq', 'VBP')
('wwwcolororg', 'NN')
('failed', 'VBD')
('safe-to-copy', 'NN')
('padded', 'JJ')
('initializations', 'NNS')
('digitizes', 'VBP')
('inability', 'NN')
('moves', 'NNS')
('stops', 'VBP')
('rules', 'NNS')
('z-rc', 'CD')
('png_handle_chunk_as_default', 'NN')
('assurance', 'NN')
('achannels', 'NNS')
('prevent', 'VBP')
('zlib_run', 'NN')
('png_warning_parameter_count', 'NN')
('log2dbl_maxlog2dbl_min', 'NN')
('unpg', 'JJ')
('harmless', 'NN')
('enquiry', 'JJ')
('packard', 'RB')
('out-of-buffer', 'VBP')
('management', 'NN')
('grey', 'NN')
('do_expand_16', 'NN')
('wextra', 'JJ')
('suffixed', 'VBD')
('consumed', 'VBN')
('blue-cblue-scale', 'JJ')
('mechanism', 'NN')
('cover', 'NN')
('garbage', 'NN')
('classed', 'VBD')
('looking', 'VBG')
('decrease', 'NN')
('possibility', 'NN')
('g8b', 'NN')
('digitize', 'VB')
('myfile', 'JJ')
('partial-alpha', 'JJ')
('summarize', 'NN')
('png_quantize', 'NN')
('gamma_shiftiv', 'NN')
('abc', 'IN')
('happening', 'VBG')
('limits', 'NNS')
('shipped', 'VBN')
('discovered', 'VBD')
('stress', 'JJ')
('gpc_error_to_colormap', 'NN')
('control_init', 'NN')
('afterwards', 'NNS')
('functionarg', 'VBP')
('differs', 'NNS')
('write_transforms', 'NNS')
('proceed', 'VBP')
('use-input-precision', 'JJ')
('while', 'IN')
('red-scale', 'JJ')
('starts', 'NNS')
('overlaying', 'VBG')
('hidden', 'JJ')
('32-bits', 'NNS')
('theory', 'NN')
('overflowing', 'VBG')
('represented', 'VBN')
('per', 'IN')
('origin', 'NN')
('pngh', 'NN')
('something', 'NN')
('limitserrors', 'NNS')
('negate', 'VBP')
('touch', 'JJ')
('png_ptr->trans_alphai', 'JJ')
('known', 'VBN')
('fixup', 'JJ')
('crc_finish', 'JJ')
('leap', 'NN')
('extensions', 'NNS')
('apply', 'VBP')
('truncates', 'NNS')
('predicted', 'VBN')
('spread', 'NN')
('composed', 'VBD')
('png_scale_16_to_8', 'JJ')
('removal', 'JJ')
('yuck', 'NN')
('provides', 'VBZ')
('memcmp', 'JJ')
('sgp', 'NN')
('room', 'NN')
('store_palette', 'NN')
('threshold', 'JJ')
('environment', 'NN')
('stdio', 'NN')
('initialization', 'NN')
('unpacks', 'NNS')
('custom', 'VBP')
('value5', 'JJ')
('search', 'NN')
('modify', 'VB')
('pre-106', 'JJ')
('write-errno', 'JJ')
('system', 'NN')
('-werrorstrict-overflow', 'JJ')
('blocks', 'NNS')
('total_length', 'VBP')
('png_read_expand_16_supported', 'JJ')
('chars', 'NNS')
('memory-specific', 'JJ')
('process_chunk', 'NN')
('representing', 'VBG')
('libpng-1243', 'JJ')
('floorv-vhivhi', 'JJ')
('archived', 'VBN')
('non', 'JJ')
('held', 'VBD')
('<httpwwwinforampnet~poynton>', 'RB')
('png_read_invert_alpha_supported', 'VBN')
('itu-r', 'JJ')
('wacky', 'JJ')
('overwritten', 'JJ')
('read_alpha_mode', 'NN')
('png_unexpected_zlib_return', 'NN')
('outmax', 'NN')
('dont', 'NN')
('rejected', 'VBD')
('prevents', 'NNS')
('inverts', 'NNS')
('png_filler_before', 'RB')
('zlib->extra_bytes', 'NNS')
('description', 'NN')
('doing', 'VBG')
('about', 'IN')
('top', 'JJ')
('speed-up', 'JJ')
('abort', 'NN')
('png_cmap_', 'NN')
('combo', 'NN')
('safer', 'VBP')
('aim', 'NN')
('observer', 'IN')
('fatal', 'JJ')
('gamma_display', 'NN')
('true-color', 'NN')
('dominate', 'NN')
('truncated', 'VBD')
('column', 'NN')
('provided', 'VBD')
('that', 'IN')
('based', 'VBN')
('gamma122', 'NN')
('whitespace', 'NN')
('ties', 'NNS')
('entered', 'VBD')
('indexes', 'NNS')
('cinfo', 'JJ')
('no_change', 'NN')
('cleared', 'VBD')
('ranges', 'NNS')
('wrapped', 'VBD')
('chunkpos', 'JJ')
('premultiplication', 'NN')
('someone', 'NN')
('instantiates', 'VBZ')
('do_16bit', 'RB')
('published', 'VBN')
('v095', 'NN')
('remove', 'VB')
('xor', 'NNP')
('store_progressive_read', 'JJ')
('intermediate', 'NN')
('colours', 'NNS')
('practice', 'NN')
('png_read_packswap_supported', 'VBD')
('non-composition', 'JJ')
('making', 'VBG')
('png_read_update_info->png_read_start_row', 'JJ')
('differ', 'NN')
('top-most', 'JJ')
('retrieve', 'JJ')
('8-bit', 'JJ')
('messy', 'NN')
('ordering', 'VBG')
('colour_type', 'JJ')
('mantissa', 'NN')
('_supported', 'VBD')
('moving', 'VBG')
('replicated', 'VBN')
('chunk_read', 'JJ')
('octal', 'JJ')
('narrower', 'JJR')
('libpng-127', 'JJ')
('registers', 'NNS')
('anything', 'NN')
('enforce', 'JJ')
('idat_pos', 'NN')
('safetys', 'NNS')
('copy', 'VBP')
('execute', 'JJ')
('png_set_backgroundpng_structp', 'JJ')
('bit-33', 'JJ')
('idat_list', 'NN')
('scaled', 'VBD')
('writiing', 'VBG')
('png_simplified_write_supported', 'VBN')
('messed', 'JJ')
('increments', 'NNS')
('expecting', 'VBG')
('chance', 'NN')
('attached', 'VBD')
('colorxcolor-y', 'JJ')
('syntax', 'NN')
('next_format', 'NN')
('processed', 'VBD')
('rgba-8', 'JJ')
('ansi-c90', 'JJ')
('charles', 'NNS')
('architectures', 'NNS')
('unlike', 'IN')
('algorithms', 'JJ')
('rgbxxx', 'NN')
('use_compile_time_masks', 'NNS')
('context', 'JJ')
('redgreenbluewhitexxy', 'NN')
('alpha_removed', 'VBD')
('standard_display', 'JJ')
('standard_displayfiller', 'NN')
('responsibility', 'NN')
('processing', 'NN')
('httpswwwsecurecodingcertorgconfluencedisplayc', 'NN')
('supported', 'VBD')
('bitspixel', 'JJ')
('read_gamma', 'JJ')
('blue-zblue-scale', 'JJ')
('instability', 'NN')
('messages', 'NNS')
('matters', 'NNS')
('enhancements', 'NNS')
('png_read_start_image', 'VBP')
('rowpass', 'NN')
('chunk_data_pos', 'NN')
('interpreting', 'VBG')
('contains', 'NNS')
('conforms', 'NNS')
('internationalized', 'VBD')
('original_ip', 'JJ')
('comparison', 'NN')
('searched', 'VBD')
('red-y', 'JJ')
('consistent', 'JJ')
('select', 'JJ')
('png_image_pixel_component_sizefmtheightrow_stride', 'IN')
('randers-pehrson', 'JJ')
('optimized', 'JJ')
('bottom', 'NN')
('isolate', 'NN')
('freeimage', 'NN')
('detail', 'NN')
('digitzed', 'VBN')
('decimal', 'JJ')
('png_mng_features_supported', 'JJ')
('relies', 'NNS')
('sanity', 'NN')
('mass', 'NN')
('copyright', 'NN')
('nyi', 'NN')
('file_bits', 'VBZ')
('release', 'NN')
('adjustment', 'NN')
('read_filler', 'NN')
('accommodated', 'VBD')
('testing', 'VBG')
('part', 'NN')
('members', 'NNS')
('quietuse', 'VBP')
('componentalpha65535', 'JJ')
('perform', 'NN')
('_shift', 'NNP')
('destruction', 'NN')
('expansion', 'NN')
('png_srgb_profile_checks', 'NNS')
('log2v255', 'VBP')
('incremented', 'VBN')
('converting', 'VBG')
('somehow', 'JJ')
('modifications', 'NNS')
('calling', 'VBG')
('constifies', 'NNS')
('write_interlacing', 'VBG')
('copied', 'JJ')
('whines', 'NNS')
('sig_bits0', 'VBP')
('shell', 'NN')
('png_image_buffer_size', 'VB')
('calculates', 'NNS')
('png_stdio_supported', 'VBN')
('png_structtime_buffer', 'VBP')
('white-c', 'JJ')
('symmetric', 'JJ')
('todo', 'NN')
('alpha_mode_supported', 'VBD')
('zstate', 'NN')
('write_bgr', 'NN')
('corruption', 'NN')
('scripts', 'NNS')
('compare', 'VBP')
('discourage', 'JJ')
('errorquit', 'NN')
('round', 'NN')
('matches', 'VBZ')
('conversion', 'NN')
('convert-to-srgb', 'NN')
('decompressed', 'VBD')
('iff', 'JJ')
('strip-alpha-channel', 'JJ')
('png_info_idat', 'NN')
('ideal', 'NN')
('read_16bit_supported', 'VBD')
('causing', 'VBG')
('overhead', 'JJ')
('gcc_strict_overflow', 'NN')
('fixes', 'NNS')
('integers', 'NNS')
('requirements', 'NNS')
('redgreenbluexxyz', 'VBP')
('trailing', 'VBG')
('ourselves', 'PRP')
('read_shift', 'JJ')
('gamma_shift><n1', 'NN')
('scale_16', 'NN')
('zeroes', 'VBZ')
('supplies', 'NNS')
('scales', 'NNS')
('strip_alpha', 'VBP')
('seen', 'VBN')
('zconfh', 'JJ')
('back-door', 'JJ')
('floorvlo-vhi', 'JJ')
('defaultz_ok', 'NN')
('instructed', 'VBD')
('z_default_strategy', 'NN')
('reverses', 'NNS')
('in_pixel', 'VBP')
('damage', 'NN')
('gets', 'VBZ')
('derived', 'VBN')
('ways', 'NNS')
('do_round', 'IN')
('getting', 'VBG')
('maxpc16', 'NN')
('fflushfclose', 'RB')
('reached', 'VBD')
('inflatereset', 'JJ')
('error_to_srgb_grayscale', 'JJ')
('slack', 'NN')
('image->file_name', 'JJ')
('fist', 'NN')
('repeat', 'NN')
('factoring', 'NN')
('recorded', 'VBN')
('reported', 'VBD')
('nonzero', 'JJ')
('formats', 'NNS')
('pcs', 'VBP')
('ups', 'JJ')
('profiledevice', 'NN')
('apps', 'NN')
('modes', 'NNS')
('illuminant', 'JJ')
('png_set_bgrpng_structrp', 'JJ')
('sub-sample', 'JJ')
('gzip', 'NN')
('seeds', 'NNS')
('devicelink', 'VBP')
('pass-height', 'JJ')
('leaves', 'NNS')
('pool', 'NN')
('invalidated', 'VBD')
('exceptions', 'NNS')
('defaulted', 'VBD')
('performance', 'NN')
('hexadecimal', 'JJ')
('0-25', 'JJ')
('pngstest', 'NN')
('without', 'IN')
('margin', 'JJ')
('6-12', 'JJ')
('assigned', 'VBN')
('per-chunk', 'JJ')
('pngprivh', 'NN')
('inaccurate', 'JJ')
('demand', 'NN')
('see', 'VBP')
('pixel-wise', 'JJ')
('bit_width', 'NN')
('chunk_length8chunk_length11', 'NN')
('summing', 'VBG')
('edited', 'VBN')
('delayed', 'JJ')
('simplification', 'NN')
('accommodate', 'NN')
('correspnding', 'NN')
('usage', 'JJ')
('png_warn_uninitialized_row', 'JJ')
('file-bits', 'NNS')
('red-scalegreen-scale', 'JJ')
('bomb', 'NN')
('pngc', 'NN')
('frame', 'NN')
('reuse', 'IN')
('pre-multiplying', 'JJ')
('positioning', 'NN')
('released', 'VBN')
('copying', 'VBG')
('intel', 'JJ')
('objects', 'NNS')
('named', 'VBN')
('addition', 'NN')
('device', 'NN')
('crashed', 'VBD')
('capability', 'NN')
('png_set_background_fixedpng_structp', 'NN')
('humans', 'NNS')
('sees', 'NNS')
('persist', 'VBP')
('compilers', 'NNS')
('newline', 'VBP')
('grr', 'JJ')
('posterity', 'NN')
('feed', 'NN')
('cbrow', 'VBP')
('read_bgr', 'NN')
('gained', 'VBN')
('claw', 'NN')
('fractions', 'NNS')
('floorvalue', 'VBP')
('png_modifier', 'JJR')
('linked-list', 'JJ')
('buffered', 'JJ')
('warnings', 'NNS')
('pngsuite', 'VBP')
('grp', 'JJ')
('boring', 'NN')
('intensityopaque', 'NN')
('transparency', 'NN')
('semantics', 'NNS')
('fifth', 'JJ')
('script', 'NN')
('reject', 'NN')
('z_buf_error', 'NN')
('mismatch', 'NN')
('sizes', 'VBZ')
('correction', 'NN')
('white_scale', 'JJ')
('back-pointer', 'NN')
('unsigned_max', 'JJ')
('bitmap', 'NN')
('constructed', 'VBD')
('store_mark', 'JJ')
('hanging', 'NN')
('oops', 'NNS')
('providing', 'VBG')
('moved', 'VBD')
('profile_error', 'JJ')
('originating', 'VBG')
('misplaced', 'JJ')
('blue-ywhite-scale', 'JJ')
('optimization', 'NN')
('boundaries', 'NNS')
('experiment', 'VBP')
('succeeded', 'VBN')
('protected', 'JJ')
('twos', 'NN')
('~x1', 'NNP')
('data_pos', 'NN')
('getset', 'NN')
('sequential_read', 'NN')
('zeroed', 'VBD')
('experimental', 'JJ')
('note', 'NN')
('chromaticadaptationtag', 'NN')
('idhr', 'NN')
('interpolate', 'NN')
('describes', 'VBZ')
('gray->rgb', 'JJ')
('pre-built', 'JJ')
('intermediates', 'NNS')
('inflateinit2', 'VBP')
('read_expand_16', 'JJ')
('advantage', 'NN')
('tend', 'VBP')
('inout', 'NN')
('_current', 'JJ')
('please', 'NN')
('minimize', 'VB')
('filelength', 'JJ')
('solve', 'NN')
('performs', 'NNS')
('rewrite', 'VBP')
('components', 'NNS')
('standardized', 'JJ')
('effect', 'NN')
('replaced', 'VBD')
('png-10', 'JJ')
('work-round', 'JJ')
('kind', 'NN')
('seems', 'VBZ')
('chunkidat', 'NN')
('initiated', 'VBN')
('world', 'NN')
('tends', 'VBZ')
('4-bit', 'JJ')
('been', 'VBN')
('ends', 'VBZ')
('alter', 'JJ')
('page', 'NN')
('inexact', 'NN')
('included', 'VBD')
('write_optimize_cmf', 'JJ')
('linearize', 'VB')
('right_shift', 'JJ')
('lots', 'NNS')
('rechunking', 'VBG')
('sbits', 'NNS')
('read_count', 'VBP')
('track', 'NN')
('amount', 'NN')
('body', 'NN')
('bt709-3', 'JJ')
('coverity', 'NN')
('arent', 'NN')
('log265535655345', 'NN')
('convention', 'NN')
('coeffcients', 'NNS')
('jcb', 'NN')
('decoded', 'VBD')
('vlo-vhi128', 'JJ')
('max-1', 'JJ')
('statistics', 'NNS')
('gpr', 'VBP')
('image_bytes', 'NNS')
('memcpy', 'VBP')
('reseed', 'JJ')
('interaction', 'NN')
('work-around', 'JJ')
('converse', 'NN')
('httpsgccgnuorgbugzillashow_bugcgiid66447', 'NN')
('store_storefile', 'NN')
('png_flag_mng_filter_64', 'NN')
('show', 'NN')
('isbitmax', 'JJ')
('>38149', 'JJ')
('loses', 'VBZ')
('giving', 'VBG')
('expand_16', 'JJ')
('print0', 'NN')
