('file-not-found', 'NN')
('tidier', 'JJR')
('applicationconfiguration', 'NN')
('cast', 'VBD')
('abse', 'JJ')
('summary', 'JJ')
('transform_widthpp', 'NN')
('read_compressed_text', 'NN')
('termed', 'VBD')
('do_compose', 'RB')
('png_read_gray_to_rgb_supported', 'JJ')
('reverse', 'NN')
('colorant', 'NN')
('treat', 'NN')
('replicating', 'VBG')
('png_filter_value_none', 'NN')
('complexity', 'NN')
('applied', 'VBN')
('trap', 'JJ')
('opportunity', 'NN')
('monitor', 'NN')
('raw', 'JJ')
('gammacomposergb-to-gray', 'JJ')
('built-in', 'JJ')
('energy', 'NN')
('sorted', 'VBD')
('positioned', 'JJ')
('passfail', 'NN')
('lookups', 'NNS')
('coefficient', 'JJ')
('xoring', 'VBG')
('rgb_alpha', 'NN')
('swaps', 'NNS')
('factors', 'NNS')
('scp', 'VBP')
('predict', 'JJ')
('png_ptr->zstreammsg', 'JJ')
('generator', 'NN')
('hide', 'IN')
('grayscale-no-alpha', 'JJ')
('alpha025', 'JJ')
('non-transform', 'JJ')
('persuade', 'NN')
('stupidity', 'NN')
('intcoefficient', 'NN')
('reporting', 'VBG')
('issue', 'NN')
('weirdness', 'NN')
('png_read_16_to_8_supported', 'VBD')
('superfast', 'JJ')
('logging', 'JJ')
('wrappers', 'NNS')
('pertain', 'VBP')
('cut', 'JJ')
('input-5input5', 'JJ')
('enforces', 'NNS')
('bundle', 'JJ')
('epsilon', 'JJ')
('ones', 'NNS')
('notice', 'JJ')
('coefficients', 'NNS')
('changing', 'VBG')
('input_sample', 'JJ')
('non-gray', 'JJ')
('since', 'IN')
('g16', 'NN')
('warndiscard', 'NN')
('licensen', 'NN')
('alpha0', 'NN')
('squared', 'VBD')
('libpng-099', 'JJ')
('displays', 'NNS')
('reversing', 'VBG')
('building', 'NN')
('needing', 'VBG')
('stuff', 'NN')
('lacks', 'VBZ')
('broken', 'VBN')
('png_ptr->jmp_buf_ptr', 'JJ')
('cannot', 'NN')
('profiles', 'NNS')
('mistake', 'VBP')
('ignoring', 'VBG')
('during', 'IN')
('lg2', 'JJ')
('imagerow', 'NN')
('performing', 'VBG')
('parser', 'NN')
('configure', 'NN')
('cancelled', 'VBD')
('stripping', 'VBG')
('png_max_error_text', 'JJ')
('non-default', 'JJ')
('gpc_fnout_format', 'NN')
('algorithm', 'NN')
('chunk_info', 'VBD')
('a-za-z', 'JJ')
('rewrite_offset', 'NN')
('repeating', 'NN')
('png_handle_as_unknown_supported', 'VBD')
('z_sync_flush', 'CD')
('flagged', 'VBN')
('command', 'NN')
('excludes', 'VBZ')
('although', 'IN')
('finds', 'NNS')
('deflate', 'VBP')
('serves', 'VBZ')
('user_limits', 'JJ')
('nail', 'NN')
('wishes', 'NNS')
('leave', 'VBP')
('red-zred-scale', 'JJ')
('equivalence', 'NN')
('colour', 'NN')
('ambiguities', 'NNS')
('doesnt', 'VBP')
('interval', 'JJ')
('png_read_invert_mono_supported', 'VBN')
('64-bit', 'JJ')
('idmax', 'NN')
('no_flush', 'JJ')
('bool', 'NN')
('component<alpha', 'NN')
('errors', 'NNS')
('min_bits', 'NNS')
('under', 'IN')
('turned', 'JJ')
('fileid', 'JJ')
('write_compressed_text', 'NN')
('pngwritec', 'NN')
('consists', 'VBZ')
('corrupted', 'VBD')
('duplicating', 'VBG')
('encourage', 'JJ')
('store_unknown_chunks', 'NNS')
('blue-yblue-scale', 'JJ')
('overriding', 'VBG')
('masking', 'VBG')
('division', 'NN')
('installed', 'VBD')
('conditioned', 'VBN')
('required', 'JJ')
('yes', 'NNS')
('claims', 'NNS')
('reflects', 'VBZ')
('read_int_functions', 'NNS')
('assertchannels', 'NNS')
('care', 'VBP')
('errno', 'JJ')
('comparing', 'NN')
('png_warnings_supported', 'VBD')
('bugs', 'NNS')
('reallocates', 'NNS')
('side', 'VBP')
('differences', 'NNS')
('wants', 'VBZ')
('extracted', 'JJ')
('p_srgb', 'NN')
('restraint', 'NN')
('deallocated', 'VBD')
('libpng-156', 'JJ')
('changes', 'NNS')
('reciprocals', 'NNS')
('chunklen-4u-chunkpos', 'NNS')
('urged', 'VBD')
('ihdr', 'JJ')
('outputting', 'VBG')
('modification', 'NN')
('chunk_type', 'NN')
('self-consistent', 'JJ')
('delete', 'JJ')
('cost', 'NN')
('light', 'JJ')
('green-y', 'JJ')
('below', 'IN')
('enter', 'NN')
('<all', 'JJ')
('prophoto', 'NN')
('byte-swap', 'NN')
('zlibs', 'NN')
('swapping', 'VBG')
('downloads', 'NNS')
('holds', 'VBZ')
('no-transform', 'JJ')
('put', 'NN')
('know', 'VBP')
('printed', 'VBN')
('limitation', 'NN')
('develop', 'VB')
('successive', 'JJ')
('write_weighted_filter', 'NN')
('issuing', 'VBG')
('recognize', 'JJ')
('obscure', 'JJ')
('strip', 'NN')
('counts', 'NNS')
('resync', 'VBP')
('posix', 'JJ')
('adigits', 'NNS')
('correctness', 'VBP')
('z_no_flush', 'NN')
('asked', 'VBN')
('write_srgb', 'RB')
('pointed', 'VBN')
('complement', 'NN')
('approach', 'NN')
('png_pass_rowsheight', 'NN')
('png_easy_access_supported', 'VBD')
('compiled', 'JJ')
('@<number>', 'NNP')
('involves', 'VBZ')
('leaked', 'VBD')
('removing', 'VBG')
('faked', 'VBN')
('intended', 'JJ')
('out_ct', 'NN')
('cant', 'NN')
('memset', 'NN')
('png_read_swap_alpha_supported', 'VBD')
('png_set_option_supported', 'JJ')
('gpc', 'NN')
('prints', 'NNS')
('distinct', 'JJ')
('inserted', 'VBD')
('premultiplied', 'JJ')
('extension', 'NN')
('dos', 'NNS')
('listssfnet', 'NN')
('designed', 'VBN')
('hold', 'VBP')
('zeros', 'CD')
('chopping', 'VBG')
('read_rgb_to_gray', 'NN')
('get_trns', 'NNS')
('breakage', 'NN')
('accurate', 'NN')
('replicates', 'VBZ')
('displayed', 'VBN')
('value-5', 'JJ')
('jmpbuf', 'NN')
('white-y', 'JJ')
('write_memory', 'NN')
('scanner', 'NN')
('install', 'NN')
('returning', 'VBG')
('determinant', 'JJ')
('loaders', 'NNS')
('compression_buffer', 'VBP')
('asking', 'VBG')
('unsigned_max1', 'JJ')
('magic', 'JJ')
('resulting', 'VBG')
('5precision', 'CD')
('bit-20', 'JJ')
('png_set_invert_monopng_structrp', 'NN')
('decoding', 'VBG')
('png_noreturn', 'NN')
('filedata_pos', 'JJ')
('png_interlace', 'NN')
('truncate', 'JJ')
('print', 'NN')
('black-compensation', 'NN')
('simple', 'JJ')
('wide-spread', 'JJ')
('color-y', 'JJ')
('msgi', 'NN')
('damanged', 'VBD')
('advice', 'NN')
('bckc', 'NN')
('premultiplying', 'VBG')
('fast', 'JJ')
('datastream', 'NN')
('expect', 'VBP')
('raising', 'VBG')
('with', 'IN')
('percentage', 'NN')
('app-error', 'JJ')
('header', 'NN')
('vlo-vhi12865535', 'JJ')
('misinterpretation', 'NN')
('exit_test', 'JJS')
('executes', 'VBZ')
('packed', 'JJ')
('vector', 'NN')
('adler32', 'NN')
('dbl_epsilon', 'NN')
('pngunknown', 'NN')
('input_file', 'NN')
('divides', 'VBZ')
('force', 'NN')
('got', 'VBD')
('greyscale', 'JJ')
('indicates', 'NNS')
('turning', 'VBG')
('zap', 'NN')
('object', 'NN')
('asr', 'NN')
('max_bits', 'VBZ')
('march', 'NN')
('continue', 'NN')
('subdivision', 'NN')
('eliminates', 'VBZ')
('png_read_scale_16_to_8_supported', 'JJ')
('status_code', 'NN')
('decompose', 'JJ')
('approximation', 'NN')
('convoluted', 'VBN')
('utility', 'NN')
('law', 'NN')
('favoring', 'VBG')
('original_info', 'JJ')
('make_standard', 'NN')
('_imp', 'NNP')
('strcmp', 'NN')
('-001', 'NNP')
('gray<->color', 'NN')
('translation', 'NN')
('erroroverflow', 'IN')
('png-12', 'NN')
('channelscomponents', 'NNS')
('platform', 'VB')
('guts', 'NNS')
('bkgrnd', 'VB')
('adjust', 'JJ')
('compressions', 'NNS')
('png_rgb_to_gray', 'VBP')
('ignore', 'RB')
('sse', 'JJ')
('break', 'NN')
('feel', 'NN')
('paramsnparams', 'NNS')
('emit_stringstrerrorerrno', 'VBP')
('-11', 'JJ')
('silent', 'JJ')
('robinson', 'NN')
('-5e-4', 'NNP')
('comes', 'VBZ')
('pass>>1', 'JJ')
('inputoutput', 'NN')
('crash', 'NN')
('data_size262', 'NN')
('arise', 'NN')
('powiv', 'NN')
('variation', 'NN')
('contining', 'VBG')
('followed', 'VBD')
('png_read_interlacing_supported', 'JJ')
('png_fp_saw_sign', 'NN')
('process_idat', 'NN')
('ask', 'NN')
('serialized', 'VBD')
('forced', 'VBN')
('pool->list', 'JJ')
('png_div51value', 'JJ')
('move', 'NN')
('difference', 'NN')
('careful', 'JJ')
('too-large', 'JJ')
('png_fp_saw_e', 'NN')
('fine', 'JJ')
('wrap', 'NN')
('removes', 'VBZ')
('pab-c', 'JJ')
('achieve', 'NNS')
('write_png', 'NN')
('restrictions', 'NNS')
('red-c', 'JJ')
('trying', 'VBG')
('saw_dot', 'NN')
('read_ip', 'NN')
('sense', 'NN')
('atimes', 'VBZ')
('filestatus_code', 'JJ')
('png_row_in_interlace_passy', 'JJ')
('png_fp_fraction', 'NN')
('inconsistent', 'NN')
('filenames', 'NNS')
('past', 'JJ')
('vulnerability', 'NN')
('pipeline', 'NN')
('truefalse', 'RB')
('encountered', 'VBD')
('cse', 'JJ')
('quantities', 'NNS')
('react', 'VBP')
('roundv', 'JJ')
('mismatches', 'NNS')
('accomplished', 'VBD')
('ids', 'NNS')
('writing', 'VBG')
('incorporated', 'JJ')
('png_ptr->read_buffer', 'NN')
('account', 'NN')
('displaying', 'VBG')
('pre-17', 'JJ')
('speed', 'NN')
('tags', 'NNS')
('look', 'VBP')
('containing', 'VBG')
('fact', 'NN')
('accuracies', 'NNS')
('coeefficients', 'VBZ')
('libpng-121', 'JJ')
('sensitivity', 'NN')
('expressions', 'NNS')
('ten', 'VBP')
('combined', 'VBN')
('combines', 'NNS')
('store_error', 'NN')
('png_col_from_pass_colxin', 'NN')
('users', 'NNS')
('maxout', 'IN')
('lesser', 'JJR')
('rare', 'JJ')
('read_ztxt', 'NN')
('_mm_avg_epu8', 'NNP')
('expanding', 'VBG')
('cprt', 'NN')
('answers', 'NNS')
('dijkstra', 'VBP')
('commoned', 'VBN')
('except', 'IN')
('guarantees', 'NNS')
('png_fp_1', 'VBP')
('xxrrggbb', 'JJ')
('deep', 'JJ')
('hiding', 'NN')
('saves', 'NNS')
('allocations', 'NNS')
('encode', 'VBP')
('png_composite', 'JJ')
('png_start_row', 'NN')
('quick', 'JJ')
('>background_gamma_typepng_background_gamma_unknown', 'NNP')
('selection', 'NN')
('risk', 'NN')
('rfc1123', 'NN')
('slows', 'VBZ')
('read_invert_alpha', 'JJ')
('unlink', 'JJ')
('knows', 'NNS')
('callbacks', 'NNS')
('run-time', 'RB')
('decided', 'VBD')
('killed', 'VBN')
('image-height', 'JJ')
('distinguish', 'JJ')
('is_transparent', 'NN')
('quicker', 'NN')
('pngwutilc', 'NN')
('configurations', 'NNS')
('safety', 'NN')
('png_div51alpha', 'NN')
('style', 'NN')
('secure', 'JJ')
('two-pass', 'JJ')
('libpng-1219', 'JJ')
('append', 'NN')
('pp->read_filter', 'NN')
('ferror', 'NN')
('order', 'NN')
('png_read_supported', 'VBD')
('end1', 'NN')
('goes', 'VBZ')
('signals', 'NNS')
('png_set_swap_alphapng_structrp', 'JJ')
('restricts', 'NNS')
('appear', 'VBP')
('alphatransparency', 'JJ')
('replacement', 'NN')
('test_uses_encodings', 'NNS')
('simpler', 'VBP')
('autovectorize', 'JJ')
('composition', 'NN')
('original_pp', 'IN')
('inserting', 'VBG')
('resolve', 'NN')
('overread', 'JJ')
('read_itxt', 'NN')
('as-yet', 'RB')
('abandoned', 'VBD')
('shift0', 'JJ')
('encounter', 'NN')
('anyhow', 'NN')
('__cplusplus', 'CC')
('frees', 'NNS')
('--strict', 'VBP')
('compile-time', 'JJ')
('stderr', 'NN')
('describe', 'NN')
('find', 'VBP')
('ztxtitxt', 'JJ')
('antidote', 'NN')
('adopted', 'VBN')
('validate', 'JJ')
('trash', 'NN')
('directtions', 'NNS')
('gammas', 'VBP')
('png_create_struct', 'NN')
('accumulated', 'VBN')
('saw', 'VBD')
('blue-yred-scale', 'JJ')
('resulted', 'VBD')
('fits', 'NNS')
('model', 'NN')
('stores', 'NNS')
('mybuffer', 'VBP')
('made', 'VBN')
('introduce', 'JJ')
('png-implement', 'JJ')
('design', 'NN')
('png_invert_alpha', 'JJ')
('png_ptr->rowbytes', 'JJ')
('colorxcolor-z', 'JJ')
('libpng-17', 'JJ')
('xyz1', 'NN')
('trigger', 'NN')
('reasons', 'NNS')
('interrupted', 'VBD')
('counters', 'NNS')
('attacker', 'VBP')
('stride', 'JJ')
('bchannels', 'NNS')
('separator', 'NN')
('recalculate', 'VBP')
('rightmost', 'VBN')
('png-fix-itxt', 'JJ')
('scale', 'NN')
('set_modifier_for_read', 'NN')
('happened', 'VBD')
('uint_max5', 'JJ')
('manage', 'NN')
('chunkchunk_type', 'NN')
('file_init', 'NN')
('weird', 'JJ')
('xyz096421008249', 'NNP')
('way', 'NN')
('built', 'VBN')
('worry', 'VBP')
('validation', 'NN')
('png_transform_', 'NN')
('png_setjmp_supported', 'VBD')
('precalculated', 'JJ')
('base_formatsin_format', 'NN')
('preference', 'NN')
('png_destroy_struct_2', 'NN')
('png_read_pack_supported', 'VBN')
('png_background', 'NN')
('desired', 'VBD')
('wstrict', 'JJ')
('shifts', 'NNS')
('output_is_encoded', 'VBD')
('reflect', 'NN')
('formed', 'VBN')
('srgbhdtvitu-rec', 'JJ')
('implementation', 'NN')
('shifted', 'VBD')
('no-op', 'RB')
('png_simplified_read_supported', 'JJ')
('sources', 'NNS')
('improvement', 'NN')
('steps', 'NNS')
('lone', 'RB')
('reacked', 'VBD')
('compounds', 'NNS')
('insecure', 'JJ')
('g-8', 'JJ')
('iow', 'NN')
('typing', 'VBG')
('as_default', 'NN')
('floor', 'NN')
('knuth', 'NN')
('cygwin', 'JJ')
('variations', 'NNS')
('freed', 'VBD')
('libpng-1230', 'JJ')
('startup', 'NN')
('redgray', 'NN')
('declarations', 'NNS')
('read_chunk', 'VBP')
('recovery', 'NN')
('randomizer', 'NN')
('shared', 'VBN')
('etc', 'JJ')
('non-device', 'JJ')
('png_write_interlacing_supported', 'VBN')
('chooses', 'NNS')
('bug', 'IN')
('white-cwhite-scale', 'JJ')
('backward', 'NN')
('rgb193193193', 'NN')
('converts', 'NNS')
('unum', 'JJ')
('constraint', 'NN')
('-1<<15-png_max_gamma_8', 'NN')
('composting', 'VBG')
('png_pass_height', 'JJ')
('bounds', 'NNS')
('interpreted', 'VBN')
('insufficient', 'JJ')
('thats', 'NNS')
('sub-byte', 'JJ')
('route', 'NN')
('january', 'NN')
('chunky', 'NN')
('b16c', 'NN')
('overflowed', 'VBD')
('easy_access', 'JJ')
('implicit', 'JJ')
('purposes', 'NNS')
('median', 'JJ')
('png_encode_alpha', 'JJ')
('hewlett', 'NN')
('reports', 'NNS')
('eliminated', 'VBD')
('reallocation', 'NN')
('png_io_chunk_crc', 'NN')
('manner', 'NN')
('reach', 'VBP')
('fit', 'JJ')
('tablelow', 'IN')
('updating', 'VBG')
('png_pass_col_shiftpass', 'NN')
('inherent', 'JJ')
('introduces', 'NNS')
('undo', 'JJ')
('png_ptr->chunk_name', 'JJ')
('push_read', 'NN')
('truncating', 'VBG')
('png_row_from_pass_rowyin', 'JJ')
('validity', 'NN')
('--relaxed', 'JJ')
('programs', 'NNS')
('costs', 'NNS')
('inchar', 'VBP')
('modf', 'JJ')
('cie', 'NN')
('established', 'VBD')
('off-by-one', 'CD')
('caused', 'JJ')
('inter-chunk', 'JJ')
('expects', 'VBZ')
('cache', 'NN')
('preset', 'NN')
('calls', 'VBZ')
('restricted', 'VBN')
('counted', 'JJ')
('image_pixel', 'NN')
('pair', 'NN')
('suffix', 'JJ')
('rotate', 'NN')
('theres', 'NNS')
('png_fp_exponext', 'VBP')
('reconstructed', 'VBN')
('stepping', 'VBG')
('macros', 'NNS')
('z_streammsg', 'VBP')
('allocates', 'NNS')
('png_read_struct', 'VBP')
('others', 'NNS')
('libpng-140', 'JJ')
('weve', 'JJ')
('wraps', 'NNS')
('div-by-zero', 'JJ')
('debug', 'JJ')
('digital', 'JJ')
('exp_b10-1', 'JJ')
('simplified_write', 'NN')
('windows', 'NNS')
('quantization', 'NN')
('backgroundcomposite', 'NN')
('bypasses', 'NNS')
('incorrect', 'VBP')
('per-type', 'JJ')
('believe', 'VBP')
('strip_16', 'JJ')
('relying', 'VBG')
('png-mng-implement', 'JJ')
('dumb', 'JJ')
('fire', 'NN')
('png_alpha_png', 'NN')
('set_packing', 'VBG')
('png_jmpbuf', 'JJ')
('png_size_max', 'JJ')
('though', 'IN')
('too-far-back', 'JJ')
('-19', 'JJ')
('lengthchunk-name', 'JJ')
('printf', 'NN')
('human', 'JJ')
('alternate', 'NN')
('leading', 'VBG')
('s32', 'JJ')
('gamma_shift-1>', 'JJ')
('modify_fn', 'NN')
('write_filter', 'NN')
('stdarg', 'NN')
('equality', 'NN')
('exception', 'NN')
('drop', 'NN')
('marks', 'NNS')
('increase', 'VB')
('logvalue255log2', 'JJ')
('lead', 'JJ')
('chunk-type', 'NN')
('modifiers', 'NNS')
('validate_t', 'VBP')
('unpack', 'JJ')
('png_fp_state', 'NN')
('establish', 'VB')
('n_digits', 'NNS')
('longer', 'JJR')
('libpng-1241', 'JJ')
('circumstances', 'NNS')
('feedback', 'VBP')
('ab-c-c', 'JJ')
('recognizes', 'NNS')
('boolean', 'VBP')
('stdout', 'IN')
('incomplete', 'JJ')
('is_error', 'NN')
('alignment', 'JJ')
('write_customize_compression', 'NN')
('math', 'NN')
('accelerated', 'VBD')
('goto', 'JJ')
('cancel', 'NN')
('grained', 'VBD')
('failures', 'NNS')
('basedelta', 'JJ')
('rounds', 'VBZ')
('display->background', 'JJ')
('atob0tag', 'NN')
('endpoints_matchp_srgb', 'NN')
('steal', 'NN')
('deflatereset', 'NN')
('zlib_init', 'NN')
('parentheses', 'VBZ')
('bits-per-pixel', 'JJ')
('routines', 'NNS')
('optimizes', 'MD')
('swapped', 'VBD')
('adam7', 'VB')
('breakpoints', 'NNS')
('fread', 'JJ')
('green-cgreen-scale', 'JJ')
('pixelsbytes', 'NNS')
('presumed', 'VBD')
('overruns', 'NNS')
('affect', 'VBP')
('spec', 'JJ')
('proceeding', 'NN')
('negating', 'VBG')
('protect', 'JJ')
('pngfixc18113', 'JJ')
('ok-bits', 'NNS')
('degree', 'JJ')
('things', 'NNS')
('relied', 'VBN')
('written_file', 'JJ')
('hardware', 'NN')
('stifle', 'NN')
('user_transform_info', 'JJ')
('clause', 'NN')
('ignored', 'VBD')
('sent', 'JJ')
('verify', 'NN')
('g^gamma', 'NN')
('overwrote', 'VBP')
('wpass', 'NN')
('catches', 'NNS')
('pngfixc', 'VBP')
('merge', 'NN')
('removed', 'VBD')
('re-initializer', 'JJ')
('acts', 'NNS')
('computational', 'JJ')
('accepts', 'NNS')
('single_rowbuf_alloc', 'NN')
('piped', 'VBD')
('harm', 'NN')
('stripped', 'NN')
('corrected', 'VBD')
('crc320ul', 'NN')
('farthest', 'JJS')
('muldiv', 'NN')
('de-interlacing', 'NN')
('segmented', 'VBD')
('take', 'JJ')
('display_log', 'NN')
('allocate', 'VB')
('non-matching', 'JJ')
('tracking', 'VBG')
('png-sample', 'JJ')
('strips', 'NNS')
('includes', 'VBZ')
('producing', 'VBG')
('gregs', 'NNS')
('dated', 'VBN')
('emit', 'NN')
('returned', 'VBD')
('hence', 'RB')
('scriptspnglibconfdfa', 'JJ')
('normalization', 'NN')
('overflows', 'VBZ')
('completion', 'NN')
('approximations', 'NNS')
('compare_two_images', 'VBZ')
('xy->whitey', 'JJ')
('notreached', 'JJ')
('respect', 'NN')
('determinants', 'NNS')
('involve', 'VBP')
('throw', 'JJ')
('november', 'JJ')
('png_ptr->pass', 'JJ')
('color-type3', 'NN')
('preceding', 'VBG')
('loops', 'JJ')
('consortium', 'NN')
('png_errorpng_ptr', 'NN')
('generators', 'NNS')
('determine', 'VBP')
('assumption', 'NN')
('png_expand_trns', 'NNS')
